fips,name,pop_18
19179,"Wapello, IA",35205
19181,"Warren, IA",51056
19183,"Washington, IA",22141
19185,"Wayne, IA",6401
19187,"Webster, IA",36277
19189,"Winnebago, IA",10518
19191,"Winneshiek, IA",20029
19193,"Woodbury, IA",102539
19195,"Worth, IA",7453
19197,"Wright, IA",12690
20001,"Allen, KS",12444
20003,"Anderson, KS",7878
20005,"Atchison, KS",16193
20007,"Barber, KS",4472
20009,"Barton, KS",26111
20011,"Bourbon, KS",14653
20013,"Brown, KS",9598
20015,"Butler, KS",66765
20017,"Chase, KS",2629
20019,"Chautauqua, KS",3309
20021,"Cherokee, KS",20015
20023,"Cheyenne, KS",2660
20025,"Clark, KS",2005
20027,"Clay, KS",7997
20029,"Cloud, KS",8729
20031,"Coffey, KS",8233
20033,"Comanche, KS",1748
20035,"Cowley, KS",35218
20037,"Crawford, KS",39019
20039,"Decatur, KS",2871
20041,"Dickinson, KS",18717
20043,"Doniphan, KS",7682
20045,"Douglas, KS",121436
20047,"Edwards, KS",2849
20049,"Elk, KS",2508
20051,"Ellis, KS",28710
20053,"Ellsworth, KS",6196
20055,"Finney, KS",36611
20057,"Ford, KS",33888
20059,"Franklin, KS",25631
20061,"Geary, KS",32594
20063,"Gove, KS",2612
20065,"Graham, KS",2492
20067,"Grant, KS",7336
20069,"Gray, KS",6033
20071,"Greeley, KS",1227
20073,"Greenwood, KS",6055
20075,"Hamilton, KS",2607
20077,"Harper, KS",5506
20079,"Harvey, KS",34210
20081,"Haskell, KS",3997
20083,"Hodgeman, KS",1818
20085,"Jackson, KS",13280
20087,"Jefferson, KS",18975
20089,"Jewell, KS",2841
20091,"Johnson, KS",597555
20093,"Kearny, KS",3943
20095,"Kingman, KS",7310
20097,"Kiowa, KS",2516
20099,"Labette, KS",19964
20101,"Lane, KS",1560
20103,"Leavenworth, KS",81352
20105,"Lincoln, KS",3023
20107,"Linn, KS",9750
20109,"Logan, KS",2844
20111,"Lyon, KS",33406
20113,"McPherson, KS",28537
20115,"Marion, KS",11950
20117,"Marshall, KS",9722
20119,"Meade, KS",4146
20121,"Miami, KS",33680
20123,"Mitchell, KS",6150
20125,"Montgomery, KS",32120
20127,"Morris, KS",5521
20129,"Morton, KS",2667
20131,"Nemaha, KS",10155
20133,"Neosho, KS",15951
20135,"Ness, KS",2840
20137,"Norton, KS",5430
20139,"Osage, KS",15941
20141,"Osborne, KS",3475
20143,"Ottawa, KS",5802
20145,"Pawnee, KS",6562
20147,"Phillips, KS",5317
20149,"Pottawatomie, KS",24277
20151,"Pratt, KS",9378
20153,"Rawlins, KS",2508
20155,"Reno, KS",62342
20157,"Republic, KS",4664
20159,"Rice, KS",9531
20161,"Riley, KS",73703
20163,"Rooks, KS",5013
20165,"Rush, KS",3093
20167,"Russell, KS",6907
20169,"Saline, KS",54401
20171,"Scott, KS",4897
20173,"Sedgwick, KS",513607
20175,"Seward, KS",21780
20177,"Shawnee, KS",177499
20179,"Sheridan, KS",2533
20181,"Sherman, KS",5899
20183,"Smith, KS",3603
20185,"Stafford, KS",4178
20187,"Stanton, KS",1987
20189,"Stevens, KS",5559
20191,"Sumner, KS",22996
20193,"Thomas, KS",7711
20195,"Trego, KS",2793
20197,"Wabaunsee, KS",6899
20199,"Wallace, KS",1503
20201,"Washington, KS",5420
20203,"Wichita, KS",2105
20205,"Wilson, KS",8665
20207,"Woodson, KS",3183
20209,"Wyandotte, KS",165324
21001,"Adair, KY",19215
21003,"Allen, KY",21122
21005,"Anderson, KY",22663
21007,"Ballard, KY",7979
21009,"Barren, KY",44176
21011,"Bath, KY",12383
21013,"Bell, KY",26569
21015,"Boone, KY",131533
21017,"Bourbon, KY",20184
21019,"Boyd, KY",47240
21021,"Boyle, KY",30100
21023,"Bracken, KY",8239
21025,"Breathitt, KY",12726
21027,"Breckinridge, KY",20388
21029,"Bullitt, KY",81069
21031,"Butler, KY",12772
21033,"Caldwell, KY",12715
21035,"Calloway, KY",39135
21037,"Campbell, KY",93152
21039,"Carlisle, KY",4771
21041,"Carroll, KY",10737
21043,"Carter, KY",27004
21045,"Casey, KY",15888
21047,"Christian, KY",71671
21049,"Clark, KY",36249
21051,"Clay, KY",20105
21053,"Clinton, KY",10206
21055,"Crittenden, KY",8915
21057,"Cumberland, KY",6659
21059,"Daviess, KY",101104
21061,"Edmonson, KY",12274
21063,"Elliott, KY",7508
21065,"Estill, KY",14198
21067,"Fayette, KY",323780
21069,"Fleming, KY",14432
21071,"Floyd, KY",35845
21073,"Franklin, KY",50815
21075,"Fulton, KY",6120
21077,"Gallatin, KY",8832
21079,"Garrard, KY",17560
21081,"Grant, KY",25121
21083,"Graves, KY",37317
21085,"Grayson, KY",26321
21087,"Green, KY",11049
21089,"Greenup, KY",35268
21091,"Hancock, KY",8758
21093,"Hardin, KY",110356
21095,"Harlan, KY",26409
21097,"Harrison, KY",18778
21099,"Hart, KY",18906
21101,"Henderson, KY",45591
21103,"Henry, KY",16106
21105,"Hickman, KY",4421
21107,"Hopkins, KY",45068
21109,"Jackson, KY",13442
21111,"Jefferson, KY",770517
21113,"Jessamine, KY",53920
21115,"Johnson, KY",22386
21117,"Kenton, KY",166051
21119,"Knott, KY",15126
21121,"Knox, KY",31304
21123,"Larue, KY",14307
21125,"Laurel, KY",60669
21127,"Lawrence, KY",15571
21129,"Lee, KY",7033
21131,"Leslie, KY",10143
21133,"Letcher, KY",21899
21135,"Lewis, KY",13257
21137,"Lincoln, KY",24644
21139,"Livingston, KY",9242
21141,"Logan, KY",26989
21143,"Lyon, KY",8009
21145,"McCracken, KY",65346
21147,"McCreary, KY",17408
21149,"McLean, KY",9252
21151,"Madison, KY",92368
21153,"Magoffin, KY",12362
21155,"Marion, KY",19404
21157,"Marshall, KY",31191
21159,"Martin, KY",11323
21161,"Mason, KY",17150
21163,"Meade, KY",28715
21165,"Menifee, KY",6451
21167,"Mercer, KY",21774
21169,"Metcalfe, KY",10030
21171,"Monroe, KY",10718
21173,"Montgomery, KY",28203
21175,"Morgan, KY",13345
21177,"Muhlenberg, KY",30774
21179,"Nelson, KY",45851
21181,"Nicholas, KY",7166
21183,"Ohio, KY",24087
21185,"Oldham, KY",66470
21187,"Owen, KY",10880
21189,"Owsley, KY",4472
21191,"Pendleton, KY",14529
21193,"Perry, KY",26092
21195,"Pike, KY",58402
21197,"Powell, KY",12442
21199,"Pulaski, KY",64623
21201,"Robertson, KY",2135
21203,"Rockcastle, KY",16750
21205,"Rowan, KY",24583
21207,"Russell, KY",17821
21209,"Scott, KY",56031
21211,"Shelby, KY",48518
21213,"Simpson, KY",18529
21215,"Spencer, KY",18794
21217,"Taylor, KY",25549
21219,"Todd, KY",12311
21221,"Trigg, KY",14643
21223,"Trimble, KY",8515
21225,"Union, KY",14505
21227,"Warren, KY",131264
21229,"Washington, KY",12084
21231,"Wayne, KY",20468
21233,"Webster, KY",13111
21235,"Whitley, KY",36242
21237,"Wolfe, KY",7177
21239,"Woodford, KY",26533
22001,"Acadia, LA",62190
22003,"Allen, LA",25605
22005,"Ascension, LA",124672
22007,"Assumption, LA",22300
22009,"Avoyelles, LA",40462
22011,"Beauregard, LA",37253
22013,"Bienville, LA",13308
22015,"Bossier, LA",127185
22017,"Caddo, LA",242922
22019,"Calcasieu, LA",203112
22021,"Caldwell, LA",9960
22023,"Cameron, LA",6968
22025,"Catahoula, LA",9608
22027,"Claiborne, LA",15944
22029,"Concordia, LA",19572
22031,"De Soto, LA",27436
22033,"East Baton Rouge, LA",440956
22035,"East Carroll, LA",7037
22037,"East Feliciana, LA",19305
22039,"Evangeline, LA",33443
22041,"Franklin, LA",20156
22043,"Grant, LA",22482
22045,"Iberia, LA",70941
22047,"Iberville, LA",32721
22049,"Jackson, LA",15902
22051,"Jefferson, LA",434051
22053,"Jefferson Davis, LA",31582
22055,"Lafayette, LA",242782
22057,"Lafourche, LA",98115
22059,"LaSalle, LA",14917
22061,"Lincoln, LA",47196
22063,"Livingston, LA",139567
22065,"Madison, LA",11161
22067,"Morehouse, LA",25398
22069,"Natchitoches, LA",38659
22071,"Orleans, LA",391006
22073,"Ouachita, LA",154475
22075,"Plaquemines, LA",23410
22077,"Pointe Coupee, LA",21940
22079,"Rapides, LA",130562
22081,"Red River, LA",8477
22083,"Richland, LA",20192
22085,"Sabine, LA",24032
22087,"St. Bernard, LA",46721
22089,"St. Charles, LA",52879
22091,"St. Helena, LA",10262
22093,"St. James, LA",21037
22095,"St. John the Baptist, LA",43184
22097,"St. Landry, LA",82764
22099,"St. Martin, LA",53621
22101,"St. Mary, LA",49774
22103,"St. Tammany, LA",258111
22105,"Tangipahoa, LA",133777
22107,"Tensas, LA",4462
22109,"Terrebonne, LA",111021
22111,"Union, LA",22330
22113,"Vermilion, LA",59830
22115,"Vernon, LA",48860
22117,"Washington, LA",46582
22119,"Webster, LA",38798
22121,"West Baton Rouge, LA",26427
22123,"West Carroll, LA",10982
22125,"West Feliciana, LA",15460
22127,"Winn, LA",14134
23001,"Androscoggin, ME",107679
23003,"Aroostook, ME",67111
23005,"Cumberland, ME",293557
23007,"Franklin, ME",29897
23009,"Hancock, ME",54811
23011,"Kennebec, ME",122083
23013,"Knox, ME",39771
23015,"Lincoln, ME",34342
23017,"Oxford, ME",57618
23019,"Penobscot, ME",151096
23021,"Piscataquis, ME",16800
23023,"Sagadahoc, ME",35634
23025,"Somerset, ME",50592
23027,"Waldo, ME",39694
23029,"Washington, ME",31490
23031,"York, ME",206229
24001,"Allegany, MD",70975
24003,"Anne Arundel, MD",576031
24005,"Baltimore, MD",828431
24009,"Calvert, MD",92003
24011,"Caroline, MD",33304
24013,"Carroll, MD",168429
24015,"Cecil, MD",102826
24017,"Charles, MD",161503
24019,"Dorchester, MD",31998
24021,"Frederick, MD",255648
24023,"Garrett, MD",29163
24025,"Harford, MD",253956
24027,"Howard, MD",323196
24029,"Kent, MD",19383
24031,"Montgomery, MD",1052567
24033,"Prince George's, MD",909308
24035,"Queen Anne's, MD",50251
24037,"St. Mary's, MD",112664
24039,"Somerset, MD",25675
24041,"Talbot, MD",36968
24043,"Washington, MD",150926
24045,"Wicomico, MD",103195
24047,"Worcester, MD",51823
24510,"Baltimore (Independent City), MD",602495
25001,"Barnstable, MA",213413
25003,"Berkshire, MA",126348
25005,"Bristol, MA",564022
25007,"Dukes, MA",17352
25009,"Essex, MA",790638
25011,"Franklin, MA",70963
25013,"Hampden, MA",470406
25015,"Hampshire, MA",161355
25017,"Middlesex, MA",1614714
25019,"Nantucket, MA",11327
25021,"Norfolk, MA",705388
25023,"Plymouth, MA",518132
25025,"Suffolk, MA",807252
25027,"Worcester, MA",830839
26001,"Alcona, MI",10362
26003,"Alger, MI",9097
26005,"Allegan, MI",117327
26007,"Alpena, MI",28360
26009,"Antrim, MI",23365
26011,"Arenac, MI",15041
26013,"Baraga, MI",8320
26015,"Barry, MI",61157
26017,"Bay, MI",103923
26019,"Benzie, MI",17753
26021,"Berrien, MI",154141
26023,"Branch, MI",43622
26025,"Calhoun, MI",134487
26027,"Cass, MI",51653
26029,"Charlevoix, MI",26244
26031,"Cheboygan, MI",25413
26033,"Chippewa, MI",37517
26035,"Clare, MI",30757
26037,"Clinton, MI",79332
26039,"Crawford, MI",13901
26041,"Delta, MI",35857
26043,"Dickinson, MI",25383
26045,"Eaton, MI",109826
26047,"Emmet, MI",33308
26049,"Genesee, MI",406892
26051,"Gladwin, MI",25337
26053,"Gogebic, MI",15096
26055,"Grand Traverse, MI",92573
26057,"Gratiot, MI",40599
26059,"Hillsdale, MI",45749
26061,"Houghton, MI",36219
26063,"Huron, MI",31166
26065,"Ingham, MI",292735
26067,"Ionia, MI",64210
26069,"Iosco, MI",25081
26071,"Iron, MI",11117
26073,"Isabella, MI",70562
26075,"Jackson, MI",158823
26077,"Kalamazoo, MI",264870
26079,"Kalkaska, MI",17824
26081,"Kent, MI",653786
26083,"Keweenaw, MI",2113
26085,"Lake, MI",11881
26087,"Lapeer, MI",88028
26089,"Leelanau, MI",21764
26091,"Lenawee, MI",98266
26093,"Livingston, MI",191224
26095,"Luce, MI",6283
26097,"Mackinac, MI",10787
26099,"Macomb, MI",874759
26101,"Manistee, MI",24528
26103,"Marquette, MI",66516
26105,"Mason, MI",29100
26107,"Mecosta, MI",43545
26109,"Menominee, MI",22983
26111,"Midland, MI",83209
26113,"Missaukee, MI",15113
26115,"Monroe, MI",150439
26117,"Montcalm, MI",63968
26119,"Montmorency, MI",9265
26121,"Muskegon, MI",173588
26123,"Newaygo, MI",48892
26125,"Oakland, MI",1259201
26127,"Oceana, MI",26625
26129,"Ogemaw, MI",20952
26131,"Ontonagon, MI",5795
26133,"Osceola, MI",23341
26135,"Oscoda, MI",8276
26137,"Otsego, MI",24665
26139,"Ottawa, MI",290494
26141,"Presque Isle, MI",12738
26143,"Roscommon, MI",23884
26145,"Saginaw, MI",190800
26147,"St. Clair, MI",159337
26149,"St. Joseph, MI",61043
26151,"Sanilac, MI",41182
26153,"Schoolcraft, MI",8068
26155,"Shiawassee, MI",68192
26157,"Tuscola, MI",52516
26159,"Van Buren, MI",75448
26161,"Washtenaw, MI",370963
26163,"Wayne, MI",1753893
26165,"Wexford, MI",33466
27001,"Aitkin, MN",15902
27003,"Anoka, MN",353813
27005,"Becker, MN",34371
27007,"Beltrami, MN",46847
27009,"Benton, MN",40545
27011,"Big Stone, MN",4989
27013,"Blue Earth, MN",67427
27015,"Brown, MN",25111
27017,"Carlton, MN",35837
27019,"Carver, MN",103551
27021,"Cass, MN",29519
27023,"Chippewa, MN",11924
27025,"Chisago, MN",55922
27027,"Clay, MN",63955
27029,"Clearwater, MN",8810
27031,"Cook, MN",5393
27033,"Cottonwood, MN",11277
27035,"Crow Wing, MN",64889
27037,"Dakota, MN",425423
27039,"Dodge, MN",20822
27041,"Douglas, MN",37964
27043,"Faribault, MN",13758
27045,"Fillmore, MN",21058
27047,"Freeborn, MN",30444
27049,"Goodhue, MN",46403
27051,"Grant, MN",6021
27053,"Hennepin, MN",1259428
27055,"Houston, MN",18578
27057,"Hubbard, MN",21332
27059,"Isanti, MN",39966
27061,"Itasca, MN",45108
27063,"Jackson, MN",9911
27065,"Kanabec, MN",16207
27067,"Kandiyohi, MN",42855
27069,"Kittson, MN",4248
27071,"Koochiching, MN",12440
27073,"Lac qui Parle, MN",6658
27075,"Lake, MN",10658
27077,"Lake of the Woods, MN",3758
27079,"Le Sueur, MN",28494
27081,"Lincoln, MN",5673
27083,"Lyon, MN",25629
27085,"McLeod, MN",35873
27087,"Mahnomen, MN",5519
27089,"Marshall, MN",9390
27091,"Martin, MN",19785
27093,"Meeker, MN",23141
27095,"Mille Lacs, MN",26139
27097,"Morrison, MN",33169
27099,"Mower, MN",40011
27101,"Murray, MN",8276
27103,"Nicollet, MN",34220
27105,"Nobles, MN",21924
27107,"Norman, MN",6475
27109,"Olmsted, MN",156277
27111,"Otter Tail, MN",58812
27113,"Pennington, MN",14178
27115,"Pine, MN",29483
27117,"Pipestone, MN",9047
27119,"Polk, MN",31529
27121,"Pope, MN",11097
27123,"Ramsey, MN",550210
27125,"Red Lake, MN",3999
27127,"Redwood, MN",15249
27129,"Renville, MN",14612
27131,"Rice, MN",66523
27133,"Rock, MN",9414
27135,"Roseau, MN",15150
27137,"St. Louis, MN",199754
27139,"Scott, MN",147381
27141,"Sherburne, MN",96036
27143,"Sibley, MN",15028
27145,"Stearns, MN",159256
27147,"Steele, MN",36803
27149,"Stevens, MN",9753
27151,"Swift, MN",9345
27153,"Todd, MN",24582
27155,"Traverse, MN",3308
27157,"Wabasha, MN",21645
27159,"Wadena, MN",13773
27161,"Waseca, MN",18691
27163,"Washington, MN",259201
27165,"Watonwan, MN",10980
27167,"Wilkin, MN",6254
27169,"Winona, MN",50825
27171,"Wright, MN",136349
27173,"Yellow Medicine, MN",9795
28001,"Adams, MS",31192
28003,"Alcorn, MS",36925
28005,"Amite, MS",12326
28007,"Attala, MS",18365
28009,"Benton, MS",8271
28011,"Bolivar, MS",31333
28013,"Calhoun, MS",14436
28015,"Carroll, MS",9911
28017,"Chickasaw, MS",17171
28019,"Choctaw, MS",8278
28021,"Claiborne, MS",9002
28023,"Clarke, MS",15604
28025,"Clay, MS",19386
28027,"Coahoma, MS",22628
28029,"Copiah, MS",28543
28031,"Covington, MS",18853
28033,"DeSoto, MS",182001
28035,"Forrest, MS",75036
28037,"Franklin, MS",7788
28039,"George, MS",24250
28041,"Greene, MS",13586
28043,"Grenada, MS",21055
28045,"Hancock, MS",47334
28047,"Harrison, MS",206650
28049,"Hinds, MS",237085
28051,"Holmes, MS",17622
28053,"Humphreys, MS",8257
28055,"Issaquena, MS",1308
28057,"Itawamba, MS",23517
28059,"Jackson, MS",143277
28061,"Jasper, MS",16428
28063,"Jefferson, MS",7106
28065,"Jefferson Davis, MS",11234
28067,"Jones, MS",68461
28069,"Kemper, MS",10027
28071,"Lafayette, MS",54793
28073,"Lamar, MS",62447
28075,"Lauderdale, MS",75317
28077,"Lawrence, MS",12455
28079,"Leake, MS",22763
28081,"Lee, MS",85202
28083,"Leflore, MS",28919
28085,"Lincoln, MS",34205
28087,"Lowndes, MS",58930
28089,"Madison, MS",105630
28091,"Marion, MS",24715
28093,"Marshall, MS",35451
28095,"Monroe, MS",35564
28097,"Montgomery, MS",10023
28099,"Neshoba, MS",29125
28101,"Newton, MS",21443
28103,"Noxubee, MS",10535
28105,"Oktibbeha, MS",49599
28107,"Panola, MS",34178
28109,"Pearl River, MS",55387
28111,"Perry, MS",11931
28113,"Pike, MS",39563
28115,"Pontotoc, MS",31833
28117,"Prentiss, MS",25315
28119,"Quitman, MS",7051
28121,"Rankin, MS",153902
28123,"Scott, MS",28287
28125,"Sharkey, MS",4377
28127,"Simpson, MS",26758
28129,"Smith, MS",16002
28131,"Stone, MS",18717
28133,"Sunflower, MS",25735
28135,"Tallahatchie, MS",13987
28137,"Tate, MS",28759
28139,"Tippah, MS",21995
28141,"Tishomingo, MS",19454
28143,"Tunica, MS",9944
28145,"Union, MS",28606
28147,"Walthall, MS",14465
28149,"Warren, MS",46176
28151,"Washington, MS",45063
28153,"Wayne, MS",20298
28155,"Webster, MS",9788
28157,"Wilkinson, MS",8792
28159,"Winston, MS",18165
28161,"Yalobusha, MS",12392
28163,"Yazoo, MS",28248
29001,"Adair, MO",25339
29003,"Andrew, MO",17607
29005,"Atchison, MO",5171
29007,"Audrain, MO",25473
29009,"Barry, MO",35886
29011,"Barton, MO",11798
29013,"Bates, MO",16320
29015,"Benton, MO",19278
29017,"Bollinger, MO",12169
29019,"Boone, MO",180005
29021,"Buchanan, MO",88571
29023,"Butler, MO",42639
29025,"Caldwell, MO",9108
29027,"Callaway, MO",44889
29029,"Camden, MO",45815
29031,"Cape Girardeau, MO",78753
29033,"Carroll, MO",8743
29035,"Carter, MO",6054
29037,"Cass, MO",104954
29039,"Cedar, MO",14165
29041,"Chariton, MO",7451
29043,"Christian, MO",86983
29045,"Clark, MO",6842
29047,"Clay, MO",246365
29049,"Clinton, MO",20470
29051,"Cole, MO",76796
29053,"Cooper, MO",17603
29055,"Crawford, MO",23957
29057,"Dade, MO",7569
29059,"Dallas, MO",16762
29061,"Daviess, MO",8313
29063,"DeKalb, MO",12630
29065,"Dent, MO",15441
29067,"Douglas, MO",13373
29069,"Dunklin, MO",29423
29071,"Franklin, MO",103670
29073,"Gasconade, MO",14705
29075,"Gentry, MO",6628
29077,"Greene, MO",291923
29079,"Grundy, MO",9914
29081,"Harrison, MO",8414
29083,"Henry, MO",21792
29085,"Hickory, MO",9509
29087,"Holt, MO",4404
29089,"Howard, MO",10137
29091,"Howell, MO",40076
29093,"Iron, MO",10177
29095,"Jackson, MO",700307
29097,"Jasper, MO",120636
29099,"Jefferson, MO",224347
29101,"Johnson, MO",53652
29103,"Knox, MO",3947
29105,"Laclede, MO",35713
29107,"Lafayette, MO",32598
29109,"Lawrence, MO",38359
29111,"Lewis, MO",9855
29113,"Lincoln, MO",57686
29115,"Linn, MO",12037
29117,"Livingston, MO",15146
29119,"McDonald, MO",23078
29121,"Macon, MO",15153
29123,"Madison, MO",12188
29125,"Maries, MO",8769
29127,"Marion, MO",28592
29129,"Mercer, MO",3641
29131,"Miller, MO",25336
29133,"Mississippi, MO",13336
29135,"Moniteau, MO",16121
29137,"Monroe, MO",8664
29139,"Montgomery, MO",11534
29141,"Morgan, MO",20358
29143,"New Madrid, MO",17296
29145,"Newton, MO",58266
29147,"Nodaway, MO",22304
29149,"Oregon, MO",10541
29151,"Osage, MO",13714
29153,"Ozark, MO",9017
29155,"Pemiscot, MO",16272
29157,"Perry, MO",19150
29159,"Pettis, MO",42542
29161,"Phelps, MO",44732
29163,"Pike, MO",18504
29165,"Platte, MO",102985
29167,"Polk, MO",32201
29169,"Pulaski, MO",52014
29171,"Putnam, MO",4757
29173,"Ralls, MO",10212
29175,"Randolph, MO",24763
29177,"Ray, MO",22883
29179,"Reynolds, MO",6254
29181,"Ripley, MO",13401
29183,"St. Charles, MO",399182
29185,"St. Clair, MO",9395
29186,"Ste. Genevieve, MO",17888
29187,"St. Francois, MO",66692
29189,"St. Louis, MO",996945
29195,"Saline, MO",22895
29197,"Schuyler, MO",4599
29199,"Scotland, MO",4966
29201,"Scott, MO",38458
29203,"Shannon, MO",8189
29205,"Shelby, MO",6050
29207,"Stoddard, MO",29206
29209,"Stone, MO",31749
29211,"Sullivan, MO",6221
29213,"Taney, MO",55852
29215,"Texas, MO",25571
29217,"Vernon, MO",20528
29219,"Warren, MO",34711
29221,"Washington, MO",24943
29223,"Wayne, MO",13122
29225,"Webster, MO",39109
29227,"Worth, MO",2040
29229,"Wright, MO",18378
29510,"St. Louis (Independent City), MO",302838
30001,"Beaverhead, MT",9404
30003,"Big Horn, MT",13338
30005,"Blaine, MT",6807
30007,"Broadwater, MT",6085
30009,"Carbon, MT",10714
30011,"Carter, MT",1238
30013,"Cascade, MT",81643
30015,"Chouteau, MT",5745
30017,"Custer, MT",11586
30019,"Daniels, MT",1747
30021,"Dawson, MT",8680
30023,"Deer Lodge, MT",9131
30025,"Fallon, MT",2920
30027,"Fergus, MT",11113
30029,"Flathead, MT",102106
30031,"Gallatin, MT",111876
30033,"Garfield, MT",1268
30035,"Glacier, MT",13747
30037,"Golden Valley, MT",826
30039,"Granite, MT",3378
30041,"Hill, MT",16347
30043,"Jefferson, MT",12097
30045,"Judith Basin, MT",1952
30047,"Lake, MT",30250
30049,"Lewis and Clark, MT",68700
30051,"Liberty, MT",2430
30053,"Lincoln, MT",19794
30055,"McCone, MT",1675
30057,"Madison, MT",8768
30059,"Meagher, MT",1866
30061,"Mineral, MT",4316
30063,"Missoula, MT",118791
30065,"Musselshell, MT",4651
30067,"Park, MT",16736
30069,"Petroleum, MT",513
30071,"Phillips, MT",4074
30073,"Pondera, MT",5972
30075,"Powder River, MT",1716
30077,"Powell, MT",6968
30079,"Prairie, MT",1087
30081,"Ravalli, MT",43172
30083,"Richland, MT",10913
30085,"Roosevelt, MT",11059
30087,"Rosebud, MT",9063
30089,"Sanders, MT",11844
30091,"Sheridan, MT",3424
30093,"Silver Bow, MT",34993
30095,"Stillwater, MT",9534
30097,"Sweet Grass, MT",3710
30099,"Teton, MT",6162
30101,"Toole, MT",4853
30103,"Treasure, MT",679
30105,"Valley, MT",7437
30107,"Wheatland, MT",2236
30109,"Wibaux, MT",1034
30111,"Yellowstone, MT",160137
31001,"Adams, NE",31511
31003,"Antelope, NE",6336
31005,"Arthur, NE",465
31007,"Banner, NE",730
31009,"Blaine, NE",476
31011,"Boone, NE",5239
31013,"Box Butte, NE",10772
31015,"Boyd, NE",1955
31017,"Brown, NE",2973
31019,"Buffalo, NE",49615
31021,"Burt, NE",6488
31023,"Butler, NE",8058
31025,"Cass, NE",26159
31027,"Cedar, NE",8446
31029,"Chase, NE",3977
31031,"Cherry, NE",5761
31033,"Cheyenne, NE",9310
31035,"Clay, NE",6214
31037,"Colfax, NE",10881
31039,"Cuming, NE",8940
31041,"Custer, NE",10840
31043,"Dakota, NE",20083
31045,"Dawes, NE",8716
31047,"Dawson, NE",23709
31049,"Deuel, NE",1825
31051,"Dixon, NE",5709
31053,"Dodge, NE",36791
31055,"Douglas, NE",566880
31057,"Dundy, NE",1770
31059,"Fillmore, NE",5527
31061,"Franklin, NE",3023
31063,"Frontier, NE",2608
31065,"Furnas, NE",4715
31067,"Gage, NE",21493
31069,"Garden, NE",1897
31071,"Garfield, NE",1987
31073,"Gosper, NE",1996
31075,"Grant, NE",660
31077,"Greeley, NE",2356
31079,"Hall, NE",61607
31081,"Hamilton, NE",9280
31083,"Harlan, NE",3401
31085,"Hayes, NE",916
31087,"Hitchcock, NE",2806
31089,"Holt, NE",10178
31091,"Hooker, NE",682
31093,"Howard, NE",6468
31095,"Jefferson, NE",7097
31097,"Johnson, NE",5134
31099,"Kearney, NE",6544
31101,"Keith, NE",8021
31103,"Keya Paha, NE",810
31105,"Kimball, NE",3618
31107,"Knox, NE",8419
31109,"Lancaster, NE",317272
31111,"Lincoln, NE",35185
31113,"Logan, NE",749
31115,"Loup, NE",618
31117,"McPherson, NE",492
31119,"Madison, NE",35392
31121,"Merrick, NE",7733
31123,"Morrill, NE",4686
31125,"Nance, NE",3532
31127,"Nemaha, NE",6958
31129,"Nuckolls, NE",4195
31131,"Otoe, NE",15985
31133,"Pawnee, NE",2632
31135,"Perkins, NE",2929
31137,"Phelps, NE",8996
31139,"Pierce, NE",7142
31141,"Platte, NE",33363
31143,"Polk, NE",5278
31145,"Red Willow, NE",10726
31147,"Richardson, NE",7937
31149,"Rock, NE",1360
31151,"Saline, NE",14350
31153,"Sarpy, NE",184459
31155,"Saunders, NE",21303
31157,"Scotts Bluff, NE",35989
31159,"Seward, NE",17318
31161,"Sheridan, NE",5190
31163,"Sherman, NE",3038
31165,"Sioux, NE",1187
31167,"Stanton, NE",5970
31169,"Thayer, NE",5039
31171,"Thomas, NE",720
31173,"Thurston, NE",7303
31175,"Valley, NE",4190
31177,"Washington, NE",20667
31179,"Wayne, NE",9403
31181,"Webster, NE",3533
31183,"Wheeler, NE",805
31185,"York, NE",13772
32001,"Churchill, NV",24440
32003,"Clark, NV",2231647
32005,"Douglas, NV",48467
32007,"Elko, NV",52460
32009,"Esmeralda, NV",826
32011,"Eureka, NV",2003
32013,"Humboldt, NV",16786
32015,"Lander, NV",5575
32017,"Lincoln, NV",5201
32019,"Lyon, NV",55808
32021,"Mineral, NV",4514
32023,"Nye, NV",45346
32027,"Pershing, NV",6666
32029,"Storey, NV",4029
32031,"Washoe, NV",465735
32033,"White Pine, NV",9475
32510,"Carson City (Independent City), NV",55414
33001,"Belknap, NH",61022
33003,"Carroll, NH",48779
33005,"Cheshire, NH",76493
33007,"Coos, NH",31589
33009,"Grafton, NH",89786
33011,"Hillsborough, NH",415247
33013,"Merrimack, NH",151132
33015,"Rockingham, NH",309176
33017,"Strafford, NH",130090
33019,"Sullivan, NH",43144
34001,"Atlantic, NJ",265429
34003,"Bergen, NJ",936692
34005,"Burlington, NJ",445384
34007,"Camden, NJ",507078
34009,"Cape May, NJ",92560
34011,"Cumberland, NJ",150972
34013,"Essex, NJ",799767
34015,"Gloucester, NJ",291408
34017,"Hudson, NJ",676061
34019,"Hunterdon, NJ",124714
34021,"Mercer, NJ",369811
34023,"Middlesex, NJ",829685
34025,"Monmouth, NJ",621354
34027,"Morris, NJ",494228
34029,"Ocean, NJ",601651
34031,"Passaic, NJ",503310
34033,"Salem, NJ",62607
34035,"Somerset, NJ",331164
34037,"Sussex, NJ",140799
34039,"Union, NJ",558067
34041,"Warren, NJ",105779
35001,"Bernalillo, NM",678701
35003,"Catron, NM",3578
35005,"Chaves, NM",64689
35006,"Cibola, NM*",26746
